[NanoDet][12-12 09:27:08]INFO: Setting up data...
[NanoDet][12-12 09:27:10]INFO: Creating model...
[NanoDet][12-12 09:28:58]INFO: Train|Epoch1/100|Iter0(0)| lr:1.40e-02| loss_qfl:0.1677| loss_bbox:1.2238| loss_dfl:0.5216| 
[NanoDet][12-12 09:30:32]INFO: Train|Epoch2/100|Iter10(1)| lr:1.82e-02| loss_qfl:0.2216| loss_bbox:1.0895| loss_dfl:0.4636| 
[NanoDet][12-12 09:32:00]INFO: Train|Epoch3/100|Iter20(2)| lr:2.24e-02| loss_qfl:0.1735| loss_bbox:0.9642| loss_dfl:0.3916| 
[NanoDet][12-12 09:33:27]INFO: Train|Epoch4/100|Iter30(3)| lr:2.66e-02| loss_qfl:0.1962| loss_bbox:0.9713| loss_dfl:0.3759| 
[NanoDet][12-12 09:34:56]INFO: Train|Epoch5/100|Iter40(4)| lr:3.08e-02| loss_qfl:0.1878| loss_bbox:0.7773| loss_dfl:0.3372| 
[NanoDet][12-12 09:36:21]INFO: Train|Epoch6/100|Iter50(5)| lr:3.50e-02| loss_qfl:0.1465| loss_bbox:0.7931| loss_dfl:0.3095| 
[NanoDet][12-12 09:37:47]INFO: Train|Epoch7/100|Iter60(6)| lr:3.92e-02| loss_qfl:0.1941| loss_bbox:0.7439| loss_dfl:0.2996| 
[NanoDet][12-12 09:39:16]INFO: Train|Epoch8/100|Iter70(7)| lr:4.34e-02| loss_qfl:0.1964| loss_bbox:0.6019| loss_dfl:0.2581| 
[NanoDet][12-12 09:40:43]INFO: Train|Epoch9/100|Iter80(8)| lr:4.76e-02| loss_qfl:0.1892| loss_bbox:0.6503| loss_dfl:0.2761| 
[NanoDet][12-12 09:42:56]INFO: Val|Epoch10/100|Iter90(0)| lr:5.14e-02| loss_qfl:0.5018| loss_bbox:0.5106| loss_dfl:0.2471| 
[NanoDet][12-12 09:43:05]INFO: Val_metrics: {'mAP': 0.015814435494700303, 'AP_50': 0.032532420708853364, 'AP_75': 0.013952459211375992, 'AP_small': -1.0, 'AP_m': 0.0, 'AP_l': 0.015973784626344502}
[NanoDet][12-12 09:44:27]INFO: Train|Epoch11/100|Iter90(0)| lr:5.18e-02| loss_qfl:0.2186| loss_bbox:0.6663| loss_dfl:0.2767| 
[NanoDet][12-12 09:45:59]INFO: Train|Epoch12/100|Iter100(1)| lr:5.60e-02| loss_qfl:0.1417| loss_bbox:0.5499| loss_dfl:0.2536| 
[NanoDet][12-12 09:47:27]INFO: Train|Epoch13/100|Iter110(2)| lr:6.02e-02| loss_qfl:0.2182| loss_bbox:0.5865| loss_dfl:0.2584| 
[NanoDet][12-12 09:48:56]INFO: Train|Epoch14/100|Iter120(3)| lr:6.44e-02| loss_qfl:0.1779| loss_bbox:0.6109| loss_dfl:0.2557| 
[NanoDet][12-12 09:50:28]INFO: Train|Epoch15/100|Iter130(4)| lr:6.86e-02| loss_qfl:0.1846| loss_bbox:0.6005| loss_dfl:0.2676| 
[NanoDet][12-12 09:51:56]INFO: Train|Epoch16/100|Iter140(5)| lr:7.28e-02| loss_qfl:0.2276| loss_bbox:0.5982| loss_dfl:0.2608| 
[NanoDet][12-12 09:53:25]INFO: Train|Epoch17/100|Iter150(6)| lr:7.70e-02| loss_qfl:0.1856| loss_bbox:0.5640| loss_dfl:0.2526| 
[NanoDet][12-12 09:54:54]INFO: Train|Epoch18/100|Iter160(7)| lr:8.12e-02| loss_qfl:0.1469| loss_bbox:0.5324| loss_dfl:0.2380| 
[NanoDet][12-12 09:56:23]INFO: Train|Epoch19/100|Iter170(8)| lr:8.54e-02| loss_qfl:0.2324| loss_bbox:0.5669| loss_dfl:0.2461| 
[NanoDet][12-12 09:58:42]INFO: Val|Epoch20/100|Iter180(0)| lr:8.92e-02| loss_qfl:0.5218| loss_bbox:0.4188| loss_dfl:0.2172| 
[NanoDet][12-12 09:58:49]INFO: Val_metrics: {'mAP': 0.019093844091228957, 'AP_50': 0.033820503895251236, 'AP_75': 0.01916005214395669, 'AP_small': -1.0, 'AP_m': 0.0, 'AP_l': 0.019302853739179532}
[NanoDet][12-12 10:00:15]INFO: Train|Epoch21/100|Iter180(0)| lr:8.96e-02| loss_qfl:0.1999| loss_bbox:0.4991| loss_dfl:0.2315| 
